ticker,company,# of earnings,% of positive impact of earnings,# of positive surprise earnings,% of positive impact of earnings when positive surprise,# of negative surprise earnings,% of positive impact of earnings when negative surprise,correlated_goodness
O,REALTY INCOME CORP,74,0.581081081081081,27,0.7037037037037037,41,0.5365853658536586,0.581081081081081
UNP,UNION PACIFIC CORP,112,0.5803571428571429,82,0.6219512195121951,18,0.3888888888888889,0.5803571428571429
PEP,PEPSICO INC,112,0.5803571428571429,82,0.6341463414634146,10,0.5,0.5803571428571429
MCHP,MICROCHIP TECHNOLOGY INC,112,0.5803571428571429,62,0.6290322580645161,4,0.25,0.5803571428571429
CI,CIGNA CORP NEW,112,0.5803571428571429,94,0.6276595744680851,13,0.38461538461538464,0.5803571428571429
IT,GARTNER INC,112,0.5803571428571429,75,0.6,19,0.7368421052631579,0.5803571428571429
TGT,TARGET CORP,112,0.5803571428571429,75,0.5866666666666667,22,0.5,0.5803571428571429
CAT,CATERPILLAR INC,112,0.41964285714285715,78,0.34615384615384615,29,0.6206896551724138,0.5803571428571428
WFC,WELLS FARGO & CO NEW,109,0.5779816513761468,51,0.6862745098039216,20,0.45,0.5779816513761468
RSG,REPUBLIC SERVICES INC,97,0.5773195876288659,60,0.6833333333333333,15,0.2,0.5773195876288659
WMT,WALMART INC,111,0.42342342342342343,71,0.4647887323943662,15,0.13333333333333333,0.5765765765765766
F,FORD MOTOR CO DEL,111,0.42342342342342343,83,0.4457831325301205,26,0.38461538461538464,0.5765765765765766
CCL,CARNIVAL CORP,111,0.5765765765765766,85,0.5764705882352941,14,0.5714285714285714,0.5765765765765766
AMAT,APPLIED MATERIALS INC,111,0.5765765765765766,89,0.5730337078651685,6,0.16666666666666666,0.5765765765765766
NI,NISOURCE INC,111,0.42342342342342343,54,0.48148148148148145,45,0.3333333333333333,0.5765765765765766
GOOG,GOOGLE INC,33,0.5757575757575758,20,0.7,10,0.3,0.5757575757575758
PWR,QUANTA SERVICES INC,99,0.5757575757575758,62,0.5967741935483871,13,0.5384615384615384,0.5757575757575758
CFG,CITIZENS FINANCIAL GROUP INC,33,0.5757575757575758,26,0.5769230769230769,5,0.8,0.5757575757575758
NCLH,NORWEGIAN CRUISE LINE HLDGS LTD,40,0.425,29,0.3793103448275862,9,0.5555555555555556,0.575
HII,HUNTINGTON INGALLS INDS INC,47,0.574468085106383,33,0.6060606060606061,14,0.5,0.574468085106383
MAA,MID AMERICA APT COMMUNITIES INC,68,0.5735294117647058,45,0.6222222222222222,19,0.5789473684210527,0.5735294117647058
OKE,ONEOK INC NEW,103,0.42718446601941745,56,0.5,35,0.34285714285714286,0.5728155339805825
TAP,MOLSON COORS BEVERAGE CO,110,0.42727272727272725,65,0.47692307692307695,40,0.325,0.5727272727272728
ODFL,OLD DOMINION FREIGHT LINE INC,110,0.5727272727272728,63,0.6666666666666666,13,0.46153846153846156,0.5727272727272728
PG,PROCTER & GAMBLE CO,112,0.42857142857142855,86,0.3953488372093023,5,0.4,0.5714285714285714
BDX,BECTON DICKINSON & CO,112,0.42857142857142855,84,0.4642857142857143,4,0.25,0.5714285714285714
LUV,SOUTHWEST AIRLINES CO,112,0.42857142857142855,67,0.44776119402985076,17,0.29411764705882354,0.5714285714285714
RMD,RESMED INC,105,0.5714285714285714,57,0.6666666666666666,11,0.09090909090909091,0.5714285714285714
CTVA,CORTEVA INC,14,0.5714285714285714,13,0.5384615384615384,1,1.0,0.5714285714285714
PKG,PACKAGING CORP AMERICA,91,0.5714285714285714,64,0.640625,19,0.3157894736842105,0.5714285714285714
ETN,EATON CORP PLC,112,0.5714285714285714,83,0.5662650602409639,16,0.75,0.5714285714285714
SWK,STANLEY BLACK & DECKER INC,112,0.42857142857142855,80,0.425,16,0.5,0.5714285714285714
PGR,PROGRESSIVE CORP OH,112,0.42857142857142855,60,0.5,33,0.36363636363636365,0.5714285714285714
CHD,CHURCH & DWIGHT INC,112,0.5714285714285714,81,0.5308641975308642,5,0.6,0.5714285714285714
VRSK,VERISK ANALYTICS INC,51,0.43137254901960786,33,0.6060606060606061,10,0.1,0.5686274509803921
WBA,WALGREENS BOOTS ALLIANCE INC,111,0.43243243243243246,57,0.43859649122807015,25,0.4,0.5675675675675675
MRO,MARATHON OIL CORP,111,0.43243243243243246,69,0.4492753623188406,37,0.40540540540540543,0.5675675675675675
CAH,CARDINAL HEALTH INC,111,0.5675675675675675,75,0.5466666666666666,15,0.6666666666666666,0.5675675675675675
WRK,WESTROCK CO,30,0.5666666666666667,26,0.6153846153846154,4,0.25,0.5666666666666667
FISV,FISERV INC,92,0.43478260869565216,47,0.48936170212765956,9,0.3333333333333333,0.5652173913043479
WYNN,WYNN RESORTS LTD,78,0.4358974358974359,35,0.4857142857142857,39,0.4358974358974359,0.5641025641025641
ALGN,ALIGN TECHNOLOGY INC,87,0.5632183908045977,69,0.6376811594202898,13,0.3076923076923077,0.5632183908045977
ILMN,ILLUMINA INC,87,0.4367816091954023,69,0.5072463768115942,11,0.09090909090909091,0.5632183908045977
COO,COOPER COMPANIES INC,103,0.5631067961165048,68,0.6617647058823529,25,0.32,0.5631067961165048
AIG,AMERICAN INTERNATIONAL GROUP INC,112,0.5625,76,0.631578947368421,36,0.4166666666666667,0.5625
BMY,BRISTOL MYERS SQUIBB CO,112,0.4375,78,0.4230769230769231,9,0.3333333333333333,0.5625
DUK,DUKE ENERGY CORP NEW,112,0.4375,68,0.47058823529411764,39,0.41025641025641024,0.5625
NEM,NEWMONT CORP,112,0.4375,71,0.5211267605633803,36,0.3333333333333333,0.5625
HBI,HANESBRANDS INC,64,0.5625,37,0.6216216216216216,10,0.2,0.5625
FRC,FIRST REPUBLIC BANK S F NEW,48,0.5625,37,0.5405405405405406,5,0.6,0.5625
SRE,SEMPRA ENERGY,98,0.5612244897959183,69,0.5797101449275363,25,0.52,0.5612244897959183
HIG,HARTFORD FINANCIAL SVCS GRP INC,107,0.5607476635514018,85,0.611764705882353,19,0.2631578947368421,0.5607476635514018
FE,FIRSTENERGY CORP,100,0.44,73,0.4657534246575342,20,0.45,0.56
AAP,ADVANCE AUTO PARTS INC,84,0.44047619047619047,53,0.4716981132075472,21,0.3333333333333333,0.5595238095238095
LYV,LIVE NATION ENTERTAINMENT INC,68,0.5588235294117647,33,0.7272727272727273,32,0.375,0.5588235294117647
MS,MORGAN STANLEY DEAN WITTER & CO,102,0.5588235294117647,80,0.5875,20,0.5,0.5588235294117647
VLO,VALERO ENERGY CORP NEW,111,0.44144144144144143,86,0.45348837209302323,15,0.2,0.5585585585585586
T,A T & T INC,111,0.44144144144144143,63,0.49206349206349204,18,0.2222222222222222,0.5585585585585586
COF,CAPITAL ONE FINANCIAL CORP,111,0.5585585585585585,60,0.5833333333333334,31,0.45161290322580644,0.5585585585585585
WRB,BERKLEY W R CORP,111,0.5585585585585585,64,0.65625,22,0.3181818181818182,0.5585585585585585
DXC,D X C TECHNOLOGY CO,111,0.5585585585585585,83,0.5903614457831325,12,0.5,0.5585585585585585
NFLX,NETFLIX INC,77,0.44155844155844154,48,0.3958333333333333,9,0.2222222222222222,0.5584415584415585
CTSH,COGNIZANT TECHNOLOGY SOLS CORP,95,0.5578947368421052,60,0.55,2,0.0,0.5578947368421052
PRGO,PERRIGO CO PLC,113,0.4424778761061947,67,0.47761194029850745,35,0.37142857142857144,0.5575221238938053
MCO,MOODYS CORP,88,0.4431818181818182,73,0.4520547945205479,11,0.45454545454545453,0.5568181818181819
XYL,XYLEM INC,45,0.4444444444444444,30,0.5,5,0.2,0.5555555555555556
WDC,WESTERN DIGITAL CORP,18,0.4444444444444444,12,0.4166666666666667,4,0.5,0.5555555555555556
EMN,EASTMAN CHEMICAL CO,112,0.44642857142857145,78,0.5128205128205128,27,0.2962962962962963,0.5535714285714286
SYK,STRYKER CORP,112,0.5535714285714286,57,0.5087719298245614,13,0.46153846153846156,0.5535714285714286
TMO,THERMO FISHER SCIENTIFIC INC,112,0.5535714285714286,91,0.5824175824175825,5,0.4,0.5535714285714286
AVY,AVERY DENNISON CORP,112,0.5535714285714286,87,0.5402298850574713,14,0.5714285714285714,0.5535714285714286
VTRS,VIATRIS INC,112,0.5535714285714286,68,0.6176470588235294,28,0.32142857142857145,0.5535714285714286
BKR,BAKER HUGHES CO,112,0.5535714285714286,66,0.6060606060606061,30,0.4,0.5535714285714286
CB,CHUBB LTD,112,0.5535714285714286,87,0.5747126436781609,17,0.5294117647058824,0.5535714285714286
TFX,TELEFLEX INC,112,0.5535714285714286,80,0.5375,18,0.4444444444444444,0.5535714285714286
JPM,JPMORGAN CHASE & CO,112,0.44642857142857145,90,0.4777777777777778,18,0.3888888888888889,0.5535714285714286
SHW,SHERWIN WILLIAMS CO,112,0.5535714285714286,56,0.5535714285714286,24,0.6666666666666666,0.5535714285714286
CNP,CENTERPOINT ENERGY INC,112,0.5535714285714286,65,0.5076923076923077,33,0.6363636363636364,0.5535714285714286
REG,REGENCY CENTERS CORP,76,0.5526315789473685,44,0.6590909090909091,27,0.37037037037037035,0.5526315789473685
NWSA,NEWS CORP NEW,38,0.5526315789473685,25,0.68,8,0.125,0.5526315789473685
AMP,AMERIPRISE FINANCIAL INC,69,0.5507246376811594,51,0.6078431372549019,14,0.35714285714285715,0.5507246376811594
ZTS,ZOETIS INC,40,0.55,33,0.48484848484848486,3,1.0,0.55
PHM,PULTE GROUP INC,111,0.5495495495495496,72,0.5694444444444444,25,0.52,0.5495495495495496
AES,A E S CORP,111,0.5495495495495496,60,0.55,30,0.5333333333333333,0.5495495495495496
PH,PARKER HANNIFIN CORP,111,0.5495495495495496,90,0.4777777777777778,19,0.8421052631578947,0.5495495495495496
PNW,PINNACLE WEST CAPITAL CORP,111,0.45045045045045046,61,0.4918032786885246,40,0.375,0.5495495495495495
XEL,X C E L ENERGY INC,111,0.45045045045045046,62,0.5161290322580645,40,0.325,0.5495495495495495
JNPR,JUNIPER NETWORKS INC,91,0.45054945054945056,63,0.5238095238095238,6,0.0,0.5494505494505495
AMZN,AMAZON COM INC,86,0.45348837209302323,28,0.6071428571428571,13,0.23076923076923078,0.5465116279069768
ACN,ACCENTURE PLC IRELAND,86,0.5465116279069767,70,0.5285714285714286,7,0.7142857142857143,0.5465116279069767
LRCX,LAM RESH CORP,110,0.5454545454545454,87,0.5632183908045977,10,0.5,0.5454545454545454
AAPL,APPLE INC,88,0.5454545454545454,54,0.6481481481481481,4,0.0,0.5454545454545454
HST,HOST HOTELS & RESORTS INC,88,0.45454545454545453,47,0.44680851063829785,31,0.3870967741935484,0.5454545454545454
MCD,MCDONALDS CORP,112,0.45535714285714285,56,0.5535714285714286,25,0.32,0.5446428571428572
GPC,GENUINE PARTS CO,112,0.45535714285714285,52,0.5,28,0.39285714285714285,0.5446428571428572
PKI,PERKINELMER INC,112,0.45535714285714285,79,0.5443037974683544,13,0.23076923076923078,0.5446428571428572
NEE,NEXTERA ENERGY INC,112,0.45535714285714285,59,0.4745762711864407,14,0.5714285714285714,0.5446428571428572
XRX,XEROX HOLDINGS CORP,112,0.45535714285714285,78,0.46153846153846156,26,0.46153846153846156,0.5446428571428572
GWW,GRAINGER W W INC,112,0.45535714285714285,73,0.547945205479452,26,0.3076923076923077,0.5446428571428572
IEX,IDEX CORP,112,0.45535714285714285,67,0.5373134328358209,21,0.19047619047619047,0.5446428571428572
LMT,LOCKHEED MARTIN CORP,112,0.45535714285714285,95,0.45263157894736844,15,0.5333333333333333,0.5446428571428572
TFC,TRUIST FINANCIAL CORP,112,0.45535714285714285,57,0.43859649122807015,27,0.5185185185185185,0.5446428571428572
IBM,INTERNATIONAL BUSINESS MACHS COR,112,0.45535714285714285,95,0.49473684210526314,9,0.2222222222222222,0.5446428571428572
UNM,UNUM GROUP,112,0.5446428571428571,55,0.7090909090909091,33,0.2727272727272727,0.5446428571428571
ED,CONSOLIDATED EDISON INC,112,0.5446428571428571,65,0.6,42,0.5,0.5446428571428571
TSN,TYSON FOODS INC,112,0.5446428571428571,69,0.5652173913043478,34,0.5294117647058824,0.5446428571428571
WM,WASTE MANAGEMENT INC DEL,112,0.5446428571428571,64,0.5625,34,0.5,0.5446428571428571
ATVI,ACTIVISION BLIZZARD INC,103,0.5436893203883495,73,0.6027397260273972,8,0.25,0.5436893203883495
V,VISA INC,59,0.5423728813559322,54,0.5555555555555556,1,1.0,0.5423728813559322
FRT,FEDERAL REALTY INVESTMENT TRUST,83,0.5421686746987951,54,0.5555555555555556,24,0.5416666666666666,0.5421686746987951
KIM,KIMCO REALTY CORP,83,0.5421686746987951,49,0.5510204081632653,31,0.4838709677419355,0.5421686746987951
FCX,FREEPORT MCMORAN INC,107,0.45794392523364486,68,0.5,25,0.52,0.5420560747663552
LVS,LAS VEGAS SANDS CORP,72,0.4583333333333333,34,0.5,32,0.40625,0.5416666666666667
HWM,HOWMET AEROSPACE INC,24,0.5416666666666666,18,0.4444444444444444,4,0.75,0.5416666666666666
BAC,BANK OF AMERICA CORP,111,0.5405405405405406,80,0.625,19,0.3684210526315789,0.5405405405405406
OXY,OCCIDENTAL PETROLEUM CORP,111,0.4594594594594595,78,0.5128205128205128,22,0.3181818181818182,0.5405405405405406
AEE,AMEREN CORP,100,0.54,58,0.5344827586206896,39,0.5641025641025641,0.54
MKC,MCCORMICK & CO INC,113,0.5398230088495575,72,0.5972222222222222,16,0.375,0.5398230088495575
VTR,VENTAS INC,76,0.5394736842105263,41,0.4878048780487805,32,0.5625,0.5394736842105263
LDOS,LEIDOS HOLDINGS INC,65,0.46153846153846156,49,0.4897959183673469,14,0.35714285714285715,0.5384615384615384
AMCR,AMCOR PLC,13,0.46153846153846156,4,0.75,2,0.5,0.5384615384615384
ABMD,ABIOMED INC,93,0.5376344086021505,54,0.5925925925925926,30,0.4666666666666667,0.5376344086021505
HOLX,HOLOGIC INC,108,0.46296296296296297,66,0.5757575757575758,15,0.2,0.537037037037037
WEC,W E C ENERGY GROUP INC,95,0.4631578947368421,81,0.4444444444444444,9,0.3333333333333333,0.5368421052631579
ATO,ATMOS ENERGY CORP,110,0.4636363636363636,66,0.5606060606060606,33,0.24242424242424243,0.5363636363636364
CVX,CHEVRON CORP NEW,112,0.5357142857142857,72,0.5833333333333334,37,0.4594594594594595,0.5357142857142857
NWL,NEWELL BRANDS INC,112,0.4642857142857143,80,0.4625,14,0.21428571428571427,0.5357142857142857
TXN,TEXAS INSTRUMENTS INC,112,0.4642857142857143,84,0.5,12,0.16666666666666666,0.5357142857142857
MTB,M & T BANK CORP,112,0.5357142857142857,66,0.5757575757575758,37,0.4864864864864865,0.5357142857142857
RTX,RAYTHEON TECHNOLOGIES CORP,112,0.4642857142857143,104,0.4807692307692308,2,0.5,0.5357142857142857
PPL,P P L CORP,112,0.4642857142857143,70,0.5714285714285714,34,0.2647058823529412,0.5357142857142857
DHI,D R HORTON INC,112,0.4642857142857143,77,0.4805194805194805,18,0.4444444444444444,0.5357142857142857
CSX,C S X CORP,112,0.5357142857142857,52,0.5961538461538461,9,0.3333333333333333,0.5357142857142857
DTE,D T E ENERGY CO,112,0.5357142857142857,62,0.5645161290322581,45,0.5333333333333333,0.5357142857142857
WHR,WHIRLPOOL CORP,112,0.4642857142857143,77,0.4805194805194805,33,0.42424242424242425,0.5357142857142857
EFX,EQUIFAX INC,112,0.4642857142857143,74,0.44594594594594594,6,0.16666666666666666,0.5357142857142857
NSC,NORFOLK SOUTHERN CORP,112,0.5357142857142857,74,0.5675675675675675,26,0.5,0.5357142857142857
ITW,ILLINOIS TOOL WORKS INC,112,0.5357142857142857,83,0.5903614457831325,10,0.3,0.5357142857142857
HD,HOME DEPOT INC,112,0.4642857142857143,80,0.4375,9,0.6666666666666666,0.5357142857142857
LNC,LINCOLN NATIONAL CORP,112,0.5357142857142857,71,0.6338028169014085,36,0.3333333333333333,0.5357142857142857
GPS,GAP INC,112,0.4642857142857143,73,0.5068493150684932,8,0.375,0.5357142857142857
LEN,LENNAR CORP,114,0.4649122807017544,85,0.4823529411764706,23,0.43478260869565216,0.5350877192982456
PSX,PHILLIPS 66,43,0.46511627906976744,36,0.5277777777777778,7,0.14285714285714285,0.5348837209302326
AWK,AMERICAN WATER WORKS CO INC,58,0.46551724137931033,30,0.6,14,0.35714285714285715,0.5344827586206897
CBRE,C B R E GROUP INC,73,0.5342465753424658,53,0.5660377358490566,16,0.375,0.5342465753424658
TPR,TAPESTRY INC,88,0.5340909090909091,72,0.5416666666666666,5,0.8,0.5340909090909091
MET,METLIFE INC,90,0.5333333333333333,65,0.6153846153846154,18,0.2222222222222222,0.5333333333333333
UDR,U D R INC,77,0.4675324675324675,37,0.5405405405405406,33,0.3939393939393939,0.5324675324675325
BBY,BEST BUY COMPANY INC,109,0.5321100917431193,71,0.5774647887323944,14,0.35714285714285715,0.5321100917431193
KMI,KINDER MORGAN INC,47,0.5319148936170213,16,0.375,25,0.56,0.5319148936170213
BWA,BORGWARNER INC,111,0.5315315315315315,69,0.6086956521739131,11,0.36363636363636365,0.5315315315315315
CLX,CLOROX CO,111,0.46846846846846846,80,0.5125,17,0.47058823529411764,0.5315315315315315
GLW,CORNING INC,111,0.5315315315315315,78,0.5384615384615384,11,0.45454545454545453,0.5315315315315315
MCK,MCKESSON H B O C INC,111,0.5315315315315315,75,0.6,27,0.37037037037037035,0.5315315315315315
ADM,ARCHER DANIELS MIDLAND CO,111,0.5315315315315315,65,0.5076923076923077,40,0.625,0.5315315315315315
QRVO,QORVO INC,32,0.53125,31,0.5483870967741935,1,0.0,0.53125
MAR,MARRIOTT INTERNATIONAL INC NEW,100,0.47,71,0.49295774647887325,10,0.4,0.53
CMCSA,COMCAST CORP NEW,104,0.5288461538461539,68,0.5,19,0.631578947368421,0.5288461538461539
CE,CELANESE CORP DEL,70,0.5285714285714286,58,0.5517241379310345,10,0.4,0.5285714285714286
EXR,EXTRA SPACE STORAGE INC,70,0.5285714285714286,53,0.5849056603773585,13,0.23076923076923078,0.5285714285714286
DOV,DOVER CORP,106,0.4716981132075472,86,0.5232558139534884,12,0.16666666666666666,0.5283018867924528
WY,WEYERHAEUSER CO,110,0.4727272727272727,73,0.5068493150684932,27,0.4444444444444444,0.5272727272727273
VNO,VORNADO REALTY TRUST,74,0.47297297297297297,41,0.5365853658536586,31,0.3548387096774194,0.527027027027027
CPB,CAMPBELL SOUP CO,112,0.4732142857142857,72,0.5,21,0.47619047619047616,0.5267857142857143
VZ,VERIZON COMMUNICATIONS INC,112,0.5267857142857143,63,0.5238095238095238,18,0.6111111111111112,0.5267857142857143
BAX,BAXTER INTERNATIONAL INC,112,0.5267857142857143,75,0.5733333333333334,10,0.5,0.5267857142857143
EXC,EXELON CORP,112,0.5267857142857143,66,0.5303030303030303,37,0.5405405405405406,0.5267857142857143
KO,COCA COLA CO,112,0.4732142857142857,70,0.45714285714285713,1,1.0,0.5267857142857143
PCAR,PACCAR INC,112,0.5267857142857143,88,0.5340909090909091,15,0.6,0.5267857142857143
BA,BOEING CO,112,0.4732142857142857,80,0.425,26,0.5769230769230769,0.5267857142857143
SPGI,S & P GLOBAL INC,112,0.5267857142857143,92,0.5108695652173914,6,0.6666666666666666,0.5267857142857143
CL,COLGATE PALMOLIVE CO,112,0.5267857142857143,51,0.5686274509803921,2,1.0,0.5267857142857143
JNJ,JOHNSON & JOHNSON,112,0.5267857142857143,93,0.5483870967741935,4,0.25,0.5267857142857143
IP,INTERNATIONAL PAPER CO,112,0.4732142857142857,81,0.43209876543209874,18,0.6111111111111112,0.5267857142857143
PEG,PUBLIC SERVICE ENTERPRISE GP INC,112,0.4732142857142857,69,0.4782608695652174,34,0.47058823529411764,0.5267857142857143
CMS,C M S ENERGY CORP,112,0.5267857142857143,67,0.5671641791044776,31,0.41935483870967744,0.5267857142857143
ROK,ROCKWELL AUTOMATION INC,112,0.5267857142857143,85,0.5176470588235295,21,0.5238095238095238,0.5267857142857143
TXT,TEXTRON INC,112,0.4732142857142857,83,0.40963855421686746,16,0.625,0.5267857142857143
D,DOMINION ENERGY INC,112,0.5267857142857143,67,0.5671641791044776,34,0.4411764705882353,0.5267857142857143
MGM,M G M RESORTS INTERNATIONAL,112,0.4732142857142857,65,0.5230769230769231,35,0.4,0.5267857142857143
HON,HONEYWELL INTERNATIONAL INC,112,0.5267857142857143,69,0.5072463768115942,4,0.0,0.5267857142857143
MMC,MARSH & MCLENNAN COS INC,112,0.4732142857142857,71,0.4647887323943662,15,0.4,0.5267857142857143
CDNS,CADENCE DESIGN SYSTEMS INC,112,0.5267857142857143,90,0.5555555555555556,3,0.3333333333333333,0.5267857142857143
INTC,INTEL CORP,112,0.4732142857142857,85,0.49411764705882355,15,0.26666666666666666,0.5267857142857143
